source,target,weight
"Agnihotram, Sudhakar","Varshney, Bhavna",1
"Tan, Yee-Joo","Varshney, Bhavna",2
"Baric, Ralph","Varshney, Bhavna",2
"Lal, Sunil K.","Varshney, Bhavna",2
"Agnihotram, Sudhakar","Tan, Yee-Joo",1
"Agnihotram, Sudhakar","Baric, Ralph",1
"Agnihotram, Sudhakar","Lal, Sunil K.",1
"Baric, Ralph","Tan, Yee-Joo",2
"Lal, Sunil K.","Tan, Yee-Joo",2
"Baric, Ralph","Lal, Sunil K.",2
"Eriksson, Klara Kristin","van den Worm, Sjoerd H. E.",1
"Zevenhoven, Jessika C.","van den Worm, Sjoerd H. E.",1
"Weber, Friedemann","van den Worm, Sjoerd H. E.",1
"ZÃ¼st, Roland","van den Worm, Sjoerd H. E.",1
"Kuri, Thomas","van den Worm, Sjoerd H. E.",1
"Dijkman, Ronald","van den Worm, Sjoerd H. E.",1
"Chang, Guohui","van den Worm, Sjoerd H. E.",1
"Siddell, Stuart G.","van den Worm, Sjoerd H. E.",1
"Snijder, Eric J.","van den Worm, Sjoerd H. E.",1
"Thiel, Volker","van den Worm, Sjoerd H. E.",1
"Davidson, Andrew D.","van den Worm, Sjoerd H. E.",1
"Eriksson, Klara Kristin","Zevenhoven, Jessika C.",1
"Eriksson, Klara Kristin","Weber, Friedemann",1
"Eriksson, Klara Kristin","ZÃ¼st, Roland",1
"Eriksson, Klara Kristin","Kuri, Thomas",1
"Dijkman, Ronald","Eriksson, Klara Kristin",1
"Chang, Guohui","Eriksson, Klara Kristin",1
"Eriksson, Klara Kristin","Siddell, Stuart G.",1
"Eriksson, Klara Kristin","Snijder, Eric J.",1
"Eriksson, Klara Kristin","Thiel, Volker",1
"Davidson, Andrew D.","Eriksson, Klara Kristin",1
"Weber, Friedemann","Zevenhoven, Jessika C.",1
"Zevenhoven, Jessika C.","ZÃ¼st, Roland",1
"Kuri, Thomas","Zevenhoven, Jessika C.",1
"Dijkman, Ronald","Zevenhoven, Jessika C.",1
"Chang, Guohui","Zevenhoven, Jessika C.",1
"Siddell, Stuart G.","Zevenhoven, Jessika C.",1
"Snijder, Eric J.","Zevenhoven, Jessika C.",1
"Thiel, Volker","Zevenhoven, Jessika C.",1
"Davidson, Andrew D.","Zevenhoven, Jessika C.",1
"Weber, Friedemann","ZÃ¼st, Roland",1
"Kuri, Thomas","Weber, Friedemann",1
"Dijkman, Ronald","Weber, Friedemann",1
"Chang, Guohui","Weber, Friedemann",1
"Siddell, Stuart G.","Weber, Friedemann",1
"Snijder, Eric J.","Weber, Friedemann",1
"Thiel, Volker","Weber, Friedemann",1
"Davidson, Andrew D.","Weber, Friedemann",1
"Kuri, Thomas","ZÃ¼st, Roland",1
"Dijkman, Ronald","ZÃ¼st, Roland",1
"Chang, Guohui","ZÃ¼st, Roland",1
"Siddell, Stuart G.","ZÃ¼st, Roland",1
"Snijder, Eric J.","ZÃ¼st, Roland",1
"Thiel, Volker","ZÃ¼st, Roland",1
"Davidson, Andrew D.","ZÃ¼st, Roland",1
"Dijkman, Ronald","Kuri, Thomas",1
"Chang, Guohui","Kuri, Thomas",1
"Kuri, Thomas","Siddell, Stuart G.",1
"Kuri, Thomas","Snijder, Eric J.",1
"Kuri, Thomas","Thiel, Volker",1
"Davidson, Andrew D.","Kuri, Thomas",1
"Chang, Guohui","Dijkman, Ronald",1
"Dijkman, Ronald","Siddell, Stuart G.",1
"Dijkman, Ronald","Snijder, Eric J.",1
"Dijkman, Ronald","Thiel, Volker",2
"Davidson, Andrew D.","Dijkman, Ronald",1
"Chang, Guohui","Siddell, Stuart G.",1
"Chang, Guohui","Snijder, Eric J.",1
"Chang, Guohui","Thiel, Volker",1
"Chang, Guohui","Davidson, Andrew D.",1
"Siddell, Stuart G.","Snijder, Eric J.",1
"Siddell, Stuart G.","Thiel, Volker",1
"Davidson, Andrew D.","Siddell, Stuart G.",1
"Snijder, Eric J.","Thiel, Volker",1
"Davidson, Andrew D.","Snijder, Eric J.",1
"Davidson, Andrew D.","Thiel, Volker",1
"Kao, Shih-Han","Lin, Chen-Si",1
"Chen, Yu-Cheng","Lin, Chen-Si",1
"Li, Chi-Han","Lin, Chen-Si",1
"Hsieh, Yuan-Ting","Lin, Chen-Si",1
"Lin, Chen-Si","Yang, Shang-Chih",1
"Lin, Chen-Si","Wu, Chang-Jer",1
"Lee, Ru-Ping","Lin, Chen-Si",1
"Liao, Kuang-Wen","Lin, Chen-Si",1
"Chen, Yu-Cheng","Kao, Shih-Han",1
"Kao, Shih-Han","Li, Chi-Han",1
"Hsieh, Yuan-Ting","Kao, Shih-Han",1
"Kao, Shih-Han","Yang, Shang-Chih",1
"Kao, Shih-Han","Wu, Chang-Jer",1
"Kao, Shih-Han","Lee, Ru-Ping",1
"Kao, Shih-Han","Liao, Kuang-Wen",1
"Chen, Yu-Cheng","Li, Chi-Han",1
"Chen, Yu-Cheng","Hsieh, Yuan-Ting",1
"Chen, Yu-Cheng","Yang, Shang-Chih",1
"Chen, Yu-Cheng","Wu, Chang-Jer",1
"Chen, Yu-Cheng","Lee, Ru-Ping",1
"Chen, Yu-Cheng","Liao, Kuang-Wen",1
"Hsieh, Yuan-Ting","Li, Chi-Han",1
"Li, Chi-Han","Yang, Shang-Chih",1
"Li, Chi-Han","Wu, Chang-Jer",1
"Lee, Ru-Ping","Li, Chi-Han",1
"Li, Chi-Han","Liao, Kuang-Wen",1
"Hsieh, Yuan-Ting","Yang, Shang-Chih",1
"Hsieh, Yuan-Ting","Wu, Chang-Jer",1
"Hsieh, Yuan-Ting","Lee, Ru-Ping",1
"Hsieh, Yuan-Ting","Liao, Kuang-Wen",1
"Wu, Chang-Jer","Yang, Shang-Chih",1
"Lee, Ru-Ping","Yang, Shang-Chih",1
"Liao, Kuang-Wen","Yang, Shang-Chih",1
"Lee, Ru-Ping","Wu, Chang-Jer",1
"Liao, Kuang-Wen","Wu, Chang-Jer",1
"Lee, Ru-Ping","Liao, Kuang-Wen",1
"Sbrana, Elena","Tseng, Chien-Te",2
"Iwata-Yoshikawa, Naoko","Tseng, Chien-Te",2
"Newman, Patrick C.","Tseng, Chien-Te",2
"Garron, Tania","Tseng, Chien-Te",2
"Atmar, Robert L.","Tseng, Chien-Te",2
"Peters, Clarence J.","Tseng, Chien-Te",2
"Couch, Robert B.","Tseng, Chien-Te",2
"Iwata-Yoshikawa, Naoko","Sbrana, Elena",2
"Newman, Patrick C.","Sbrana, Elena",2
