title,publish_time,authors
Airborne rhinovirus detection and effect of ultraviolet irradiation on detection by a semi-nested RT-PCR assay,2003-01-13,"Myatt, Theodore A; Johnston, Sebastian L; Rudnick, Stephen; Milton, Donald K"
Discovering human history from stomach bacteria,2003-04-28,"Disotell, Todd R"
A new recruit for the army of the men of death,2003-06-27,"Petsko, Gregory A"
Association of HLA class I with severe acute respiratory syndrome coronavirus infection,2003-09-12,"Lin, Marie; Tseng, Hsiang-Kuang; Trejaut, Jean A; Lee, Hui-Lin; Loo, Jun-Hun; Chu, Chen-Chung; Chen, Pei-Jan; Su, Ying-Wen; Lim, Ken Hong; Tsai, Zen-Uong; Lin, Ruey-Yi; Lin, Ruey-Shiung; Huang, Chun-Hsiung"
A double epidemic model for the SARS propagation,2003-09-10,"Ng, Tuen Wai; Turinici, Gabriel; Danchin, Antoine"
Cloaked similarity between HIV-1 and SARS-CoV suggests an anti-SARS strategy,2003-09-21,"Kliger, Yossef; Levanon, Erez Y"
Relationship of SARS-CoV to other pathogenic RNA viruses explored by tetranucleotide usage profiling,2003-09-20,"Yap, Yee Leng; Zhang, Xue Wu; Danchin, Antoine"
Viral Discovery and Sequence Recovery Using DNA Microarrays,2003-11-17,"Wang, David; Urisman, Anatoly; Liu, Yu-Tsueng; Springer, Michael; Ksiazek, Thomas G; Erdman, Dean D; Mardis, Elaine R; Hickenbotham, Matthew; Magrini, Vincent; Eldred, James; Latreille, J. Phillipe; Wilson, Richard K; Ganem, Don; DeRisi, Joseph L"
"A model of tripeptidyl-peptidase I (CLN2), a ubiquitous and highly conserved member of the sedolisin family of serine-carboxyl peptidases",2003-11-11,"Wlodawer, Alexander; Durell, Stewart R; Li, Mi; Oyama, Hiroshi; Oda, Kohei; Dunn, Ben M"
Air pollution and case fatality of SARS in the People's Republic of China: an ecologic study,2003-11-20,"Cui, Yan; Zhang, Zuo-Feng; Froines, John; Zhao, Jinkou; Wang, Hua; Yu, Shun-Zhang; Detels, Roger"
The Virus That Changed My World,2003-12-22,"Poh Ng, Lisa Fong"
A Method to Identify p62's UBA Domain Interacting Proteins,2003-12-12,"Pridgeon, Julia W.; Geetha, Thangiah; Wooten, Marie W."
"Towards evidence-based, GIS-driven national spatial health information infrastructure and surveillance services in the United Kingdom",2004-01-28,"Boulos, Maged N Kamel"
Descriptive review of geographic mapping of severe acute respiratory syndrome (SARS) on the Internet,2004-01-28,"Boulos, Maged N Kamel"
Pro/con clinical debate: Steroids are a key component in the treatment of SARS,2004-01-26,"Gomersall, Charles D; Kargel, Marcus J; Lapinsky, Stephen E"
"8th Annual Toronto Critical Care Medicine Symposium, 30 October–1 November 2003, Toronto, Ontario, Canada",2004-01-02,"Granton, Jeff; Granton, John"
Recently published papers: all the usual suspects and carbon dioxide,2004-01-02,"Ball, Jonathan"
Detection of hepatitis C virus in the nasal secretions of an intranasal drug-user,2004-05-07,"McMahon, James M; Simm, Malgorzata; Milano, Danielle; Clatts, Michael"
Bioinformatics analysis of SARS coronavirus genome polymorphism,2004-05-25,"Pavlović-Lažetić, Gordana M; Mitić, Nenad S; Beljanski, Miloš V"
Coronavirus 3CL(pro )proteinase cleavage sites: Possible relevance to SARS virus pathology,2004-06-06,"Kiemer, Lars; Lund, Ole; Brunak, Søren; Blom, Nikolaj"
Moderate mutation rate in the SARS coronavirus genome and its implications,2004-06-28,"Zhao, Zhongming; Li, Haipeng; Wu, Xiaozhuang; Zhong, Yixi; Zhang, Keqin; Zhang, Ya-Ping; Boerwinkle, Eric; Fu, Yun-Xin"
Pro/con clinical debate: Isolation precautions for all intensive care unit patients with methicillin-resistant Staphylococcus aureus colonization are essential,2004-02-19,"Farr, Barry M; Bellingan, Geoffrey"
Base-By-Base: Single nucleotide-level analysis of whole viral genome alignments,2004-07-14,"Brodie, Ryan; Smith, Alex J; Roper, Rachel L; Tcherepanov, Vasily; Upton, Chris"
Date of origin of the SARS coronavirus strains,2004-02-06,"Lu, Hongchao; Zhao, Yi; Zhang, Jingfen; Wang, Yuelan; Li, Wei; Zhu, Xiaopeng; Sun, Shiwei; Xu, Jingyi; Ling, Lunjiang; Cai, Lun; Bu, Dongbo; Chen, Runsheng"
Mutations in the IGF-II pathway that confer resistance to lytic reovirus infection,2004-08-27,"Sheng, Jinsong; Organ, Edward L; Hao, Chuanming; Wells, K Sam; Ruley, H Earl; Rubin, Donald H"
Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003,2004-09-06,"Vega, Vinsensius B; Ruan, Yijun; Liu, Jianjun; Lee, Wah Heng; Wei, Chia Lin; Se-Thoe, Su Yun; Tang, Kin Fai; Zhang, Tao; Kolatkar, Prasanna R; Ooi, Eng Eong; Ling, Ai Ee; Stanton, Lawrence W; Long, Philip M; Liu, Edison T"
